Strain,Australis,Autumnalis,Ballum,Bataviae,Canicola,Celledoni,Cynopteri,Djasiman,Grippotyphosa,Hebdomadis,Icterohaemorrhagiae,Javanica,Manhao,Mini,Panama,Pomona,Pyrogenes,Ranarum,Sarmin,Sejroe,Shermani,Tarassovi,Serogroup,class,Species,max
FMAS_PN3,63.12,78.089,48.132,40.931,55.752,43.045,78.579,88.079,86.077,38.958,55.78,49.003,45.451,33.448,63.293,81.596,55.694,41.494,44.88,36.069,39.588,42.72,Autumnalis,2,Leptospira interrogans,88.079
FMAS_AP1,63.122,77.885,48.132,40.931,55.752,43.045,78.579,88.079,86.304,38.958,55.78,49.003,45.451,33.448,63.295,81.643,55.694,41.479,44.88,36.069,39.588,42.72,Autumnalis,2,Leptospira interrogans,88.079
FMAS_AP7,63.12,78.089,48.132,40.931,55.752,43.045,78.579,88.079,86.304,38.958,55.78,49.003,45.451,33.448,63.293,81.643,55.694,41.479,44.88,36.069,39.588,42.72,Autumnalis,2,Leptospira interrogans,88.079
202202775,33.722,36.417,43.851,49.009,45.029,40.41,36.443,39.474,40.256,37.177,44.616,42.244,39.146,36.863,34.454,39.697,43.702,39.596,49.612,37.904,86.122,76.761,Tarassovi,4,santarosai,86.122
AIM,35.043,37.11,44.687,53.142,45.996,40.857,37.189,38.102,41.128,37.193,45.599,43.235,40.033,36.991,35.725,40.182,45.007,40.427,48.572,38.815,87.916,80.226,Tarassovi,4,santarosai,87.916
VF237,29.007,31.464,32.033,31.969,39.196,31.396,32.06,33.893,35.081,83.312,38.537,32.167,35.369,81.599,31.804,34.477,38.553,31.886,40.733,86.819,51.745,38.082,Sejroe,3,Leptospira santarosai,86.819
202202044,28.895,32.208,31.886,32.098,39.054,31.79,32.284,33.909,34.987,83.275,38.572,32.091,35.316,81.693,31.627,34.662,38.411,31.886,40.846,86.823,52.077,38.719,Sejroe,3,santarosai,86.823
2015VF237,29.007,31.464,32.033,31.996,39.196,31.396,32.06,33.893,35.081,83.312,38.537,32.167,35.369,81.599,31.804,34.477,38.547,31.886,40.823,86.828,51.745,38.082,Sejroe,3,Leptospira santarosai,86.828
bajan,76.231,68.876,45.064,39.016,49.291,43.581,65.34,65.479,69.232,37.09,50.219,44.491,42.077,32.77,88.012,64.297,49.794,41.333,44.49,35.261,39.605,41.087,Australis,2,noguchii,88.012
202201149,62.149,77.048,50.317,37.521,51.463,43.84,88.2,79.391,85.066,36.282,50.99,50.991,45.178,36.673,59.697,81.496,50.235,42.086,48.76,39.877,39.269,45.642,Pomona,2,borgpetersenii,88.2
201900350,27.038,29.47,32.391,32.478,36.842,29.763,30.625,31.936,32.782,76.071,36.009,32.658,32.571,75.333,27.84,34.327,35.267,29.34,33.81,86.495,41.04,37.859,Sejroe,3,borgpetersenii,86.495
782,50.767,53.927,69.169,43.634,88.333,64.875,50.901,58.286,57.912,42.905,86.136,70.319,58.673,39.072,51.158,55.636,81.125,67.057,59.579,41.206,45.288,52.156,Canicola,1,interrogans,88.333
202202042,28.895,32.208,31.886,32.098,39.093,31.821,32.284,33.909,34.987,83.311,38.607,32.123,35.348,81.898,31.706,34.662,38.463,31.917,40.877,86.995,52.208,38.826,Sejroe,3,santarosai,86.995
201600669,31.695,33.822,36.465,33.436,41.073,33.259,34.983,36.664,37.456,80.12,40.664,37.459,36.905,84.695,33.005,38.78,39.981,32.955,37.435,86.084,41.075,42.544,Mini,3,borgpetersenii,86.084
201102933,76.432,68.918,44.938,38.712,49.344,43.488,63.992,65.142,68.873,36.736,50.295,44.531,42.136,32.155,87.953,63.983,49.095,41.396,44.73,34.662,39.67,40.647,Panama,2,noguchii,87.953
56659,42.803,50.867,69.097,37.478,72.723,74.278,51.797,54.493,56.531,45.634,72.396,73.159,86.047,44.232,46.142,53.163,75.591,61.442,72.218,44.515,43.495,49.669,Manhao,1,Leptospira alexanderi,86.047
201401473,32.247,34.432,37.314,33.874,41.849,33.936,35.693,37.373,38.204,82.637,41.407,38.111,37.48,87.962,33.497,39.409,40.522,33.544,37.794,89.062,41.361,44.025,Mini,3,borgpetersenii,89.062
CR2921,35.179,36.524,45.258,58.475,46.223,39.935,37.66,39.299,41.221,38.371,45.596,43.287,39.985,37.868,35.495,42.082,45.239,40.404,49.46,37.975,88.972,78.331,Tarassovi,4,santarosai,88.972
JICH05,35.388,36.379,45.171,57.787,46.24,39.279,37.396,39.313,41.224,38.388,45.604,43.217,40.107,37.887,35.847,41.954,45.377,40.366,49.171,38.173,88.129,77.35,Tarassovi,4,Leptospira santarosai,88.129
201600682,32.247,34.432,37.285,33.714,41.895,33.837,35.671,37.373,38.204,82.519,41.449,38.066,37.444,87.582,33.495,39.409,40.616,33.502,37.901,89.186,41.104,44.134,Mini,3,borgpetersenii,89.186
2014_VF66,28.158,30.864,31.947,31.963,39.201,31.181,32.109,33.894,35.063,83.278,38.561,32.109,35.434,81.527,31.957,34.386,38.301,31.86,40.363,86.828,52.022,37.301,Sejroe,3,Leptospira santarosai,86.828
RedPanda1,62.705,74.28,48.467,39.828,52.88,40.247,84.507,81.181,88.209,36.325,50.644,46.985,45.038,32.049,60.583,72.409,50.483,43.05,43.042,34.723,39.155,41.194,Grippotyphosa,2,Leptospira kirschneri,88.209
202200045,35.299,37.097,45.191,58.666,46.246,40.025,37.841,39.323,41.254,38.354,45.604,43.233,39.993,37.917,35.574,42.072,45.262,40.345,49.447,38.013,88.454,78.147,Tarassovi,4,santarosai,88.454
PUO_1247,69.826,84.578,48.728,40.527,53.286,42.565,84.321,86.629,87.316,36.538,53.059,50.256,45.222,32.078,62.052,79.748,51.957,41.41,43.64,35.004,39.394,41.128,Autumnalis,2,kirschneri,87.316
2013_VF52,29.007,31.464,32.033,31.969,39.235,31.428,32.06,33.893,35.081,83.348,38.572,32.199,35.401,81.804,31.883,34.477,38.579,31.917,40.764,86.992,51.876,38.189,Sejroe,3,Leptospira santarosai,86.992
RM1,52.319,54.41,59.733,43.304,83.711,59.905,58.027,55.001,59.78,46.791,88.816,64.598,63.674,42.52,53.037,53.551,74.871,59.612,61.975,45.118,45.094,50.89,Icterohaemorrhagiae,1,Leptospira kirschneri serovar Sokoine str. RM1,88.816
201600678,32.097,34.432,37.12,33.547,41.506,33.477,35.671,37.373,38.204,81.308,41.079,37.883,36.994,86.546,33.669,39.137,40.307,33.37,37.698,87.468,41.361,43.685,Mini,3,borgpetersenii,87.468
168036,32.611,33.659,32.424,36.421,42.263,30.699,35.724,38.764,37.311,85.199,43.122,32.525,34.869,79.323,33.623,39.508,41.896,31.676,35.67,86.828,40.729,38.819,Sejroe,3,interrogans,86.828
U160,45.883,48.547,65.346,40.337,70.191,69.175,50.375,51.904,53.381,45.89,73.275,69.079,66.774,45.056,49.098,53.432,72.097,65.09,89.091,45.733,57.517,54.151,Sarmin,1,santarosai,89.091
D64,38.075,39.729,34.49,91.423,39.879,31.603,39.196,41.897,40.713,35.823,40.248,33.515,31.975,32.19,37.228,40.724,40.356,32.254,34.863,34.506,57.091,54.195,Bataviae,4,interrogans,91.423
CR0521,35.399,36.168,45.383,58.652,46.066,39.909,37.9,39.318,41.236,38.356,45.462,43.188,39.86,38.017,35.626,42.09,45.05,40.277,49.38,38.328,88.694,77.782,Tarassovi,4,santarosai,88.694
201000851,29.671,30.819,33.91,31.432,38.554,31.131,33.114,33.699,34.447,76.49,38.253,34.894,34.22,81.789,30.574,36.04,37.419,30.933,35.283,82.845,38.359,39.882,Mini,3,borgpetersenii,82.845
200701203,28.87,30.365,32.608,30.821,35.946,29.672,32.127,32.66,33.386,67.131,35.626,33.681,32.117,68.368,29.15,35.229,35.083,29.732,33.295,73.76,37.051,38.646,Mini,3,borgpetersenii,73.76
Fiocruz_LV237,45.554,50.507,56.178,37.919,85.12,53.741,50.454,54.613,54.504,41.988,88.295,60.889,59.68,37.545,46.156,52.441,76.866,53.842,60.032,39.3,37.84,44.36,Icterohaemorrhagiae,1,interrogans,88.295
Fiocruz_LV256,44.28,50.238,56.178,37.919,85.12,53.822,50.705,54.613,54.504,41.988,88.295,60.318,59.763,36.878,45.482,52.475,76.422,53.842,60.15,39.373,37.617,44.424,Icterohaemorrhagiae,1,interrogans,88.295
56655,29.907,31.54,34.354,33.053,40.858,35.705,35.334,35.988,36.989,86.978,39.81,34.43,37.94,85.325,32.895,36.506,39.535,33.54,37.801,80.944,42.535,38.144,Mini,3,Leptospira weilii,86.978
201400667,32.211,34.432,37.314,33.843,41.849,33.936,35.684,37.373,38.204,82.637,41.407,38.111,37.48,87.965,33.499,39.409,40.605,33.544,37.929,89.016,41.361,44.029,Mini,3,borgpetersenii,89.016
201501073,32.211,34.432,37.314,33.843,41.849,33.936,35.684,37.373,38.204,82.637,41.407,38.092,37.48,88.124,33.499,39.409,40.593,33.544,37.906,89.176,41.361,44.2,Mini,3,borgpetersenii,89.176
201101154,32.247,34.432,37.314,33.784,41.849,33.89,35.671,37.373,38.204,81.593,41.407,38.111,37.48,86.956,33.495,39.409,40.439,33.544,37.924,88.26,41.361,43.856,Mini,3,borgpetersenii,88.26
201600660,32.247,34.432,37.314,33.874,41.849,33.936,35.693,37.373,38.204,82.637,41.407,38.111,37.48,87.965,33.499,39.409,40.401,33.544,37.901,89.066,41.361,44.029,Mini,3,borgpetersenii,89.066
201501069,32.235,34.432,37.314,33.863,41.849,33.936,35.689,37.373,38.204,82.637,41.407,38.092,37.48,87.962,33.497,39.409,40.708,33.544,37.937,89.072,41.361,44.025,Mini,3,borgpetersenii,89.072
Szwajizak,34.4,35.793,34.975,36.466,44.56,34.332,37.472,41.049,39.044,87.656,44.809,34.879,36.84,85.922,35.794,42.731,43.91,33.389,37.951,82.926,41.049,41.522,Mini,3,interrogans,87.656
201102019,32.199,34.432,37.314,33.843,41.849,33.936,35.684,37.373,38.204,82.632,41.407,38.111,37.48,87.957,33.499,39.443,40.42,33.544,37.918,89.018,41.361,44.025,Mini,3,borgpetersenii,89.018
201600671,32.247,34.432,37.314,33.874,41.849,33.936,35.693,37.373,38.204,82.637,41.407,38.111,37.48,87.965,33.497,39.409,40.401,33.544,37.918,89.066,41.361,43.856,Mini,3,borgpetersenii,89.066
201501078,32.211,34.432,37.31,33.843,41.849,33.94,35.684,37.373,38.204,82.632,41.407,38.088,37.484,88.079,33.499,39.409,40.484,33.54,37.866,89.136,41.354,44.153,Mini,3,borgpetersenii,89.136
