protein acc,class,serogroup
WP_036096936.1,1,Ranarum
WP_036096998.1,1,Ranarum
WP_003009407.1,1,Ranarum
WP_003009310.1,1,Ranarum
WP_003009880.1,1,Ranarum
WP_036096935.1,1,Ranarum
WP_003009580.1,1,Ranarum
WP_003009943.1,1,Ranarum
WP_003009765.1,1,Ranarum
WP_003009878.1,1,Ranarum
WP_003009508.1,1,Ranarum
WP_003009476.1,1,Ranarum
WP_003009413.1,1,Ranarum
WP_003009872.1,1,Ranarum
WP_003009375.1,1,Ranarum
WP_036096931.1,1,Ranarum
WP_003009932.1,1,Ranarum
WP_003009471.1,1,Ranarum
WP_036096929.1,1,Ranarum
WP_003009327.1,1,Ranarum
WP_003009876.1,1,Ranarum
WP_003009525.1,1,Ranarum
WP_003009886.1,1,Ranarum
WP_036096920.1,1,Ranarum
WP_032912999.1,1,Sarmin
WP_282974011.1,1,Sarmin
WP_282974009.1,1,Sarmin
WP_004479640.1,1,Sarmin
WP_004479675.1,1,Sarmin
WP_050558826.1,1,Sarmin
WP_282974006.1,1,Sarmin
WP_004479635.1,1,Sarmin
WP_004479657.1,1,Sarmin
WP_282974003.1,1,Sarmin
WP_282973997.1,1,Sarmin
WP_046690007.1,1,Sarmin
WP_282973988.1,1,Sarmin
WP_282973986.1,1,Sarmin
WP_282973985.1,1,Sarmin
WP_282973983.1,1,Sarmin
WP_230457147.1,1,Sarmin
WP_230457148.1,1,Sarmin
WP_230457149.1,1,Sarmin
WP_004479723.1,1,Sarmin
WP_004472309.1,1,Sarmin
WP_004479521.1,1,Sarmin
WP_004472242.1,1,Sarmin
WP_004479575.1,1,Sarmin
WP_004479530.1,1,Sarmin
WP_004479740.1,1,Sarmin
WP_282974802.1,1,Sarmin
WP_004479550.1,1,Sarmin
WP_004472333.1,1,Sarmin
WP_032918765.1,1,Sarmin
WP_032921295.1,1,Sarmin
WP_004479683.1,1,Sarmin
WP_004479718.1,1,Sarmin
WP_004479742.1,1,Sarmin
WP_004494236.1,1,Sarmin
WP_004481573.1,1,Sarmin
WP_000715958.1,1,Canicola
WP_000284355.1,1,Canicola
WP_000406134.1,1,Canicola
WP_000275679.1,1,Canicola
WP_000834719.1,1,Canicola
WP_000799637.1,1,Canicola
WP_001206408.1,1,Canicola
WP_000579813.1,1,Canicola
WP_001052314.1,1,Canicola
WP_000132018.1,1,Canicola
WP_000947841.1,1,Canicola
WP_000823146.1,1,Canicola
WP_000432947.1,1,Canicola
WP_002115474.1,1,Canicola
WP_000547460.1,1,Canicola
WP_000231290.1,1,Canicola
WP_000848236.1,1,Canicola
WP_002115390.1,1,Canicola
WP_000661931.1,1,Canicola
WP_000675255.1,1,Canicola
WP_000045938.1,1,Canicola
WP_000601375.1,1,Canicola
WP_000007540.1,1,Canicola
WP_000549981.1,1,Canicola
WP_061294270.1,1,Canicola
WP_000050434.1,1,Canicola
WP_001084686.1,1,Canicola
WP_000600954.1,1,Canicola
WP_000776640.1,1,Icterohaemorrhagiae
WP_000093099.1,1,Icterohaemorrhagiae
WP_223809837.1,1,Icterohaemorrhagiae
WP_001106774.1,1,Icterohaemorrhagiae
WP_001255897.1,1,Icterohaemorrhagiae
WP_000525968.1,1,Icterohaemorrhagiae
WP_016689799.1,1,Icterohaemorrhagiae
WP_002078515.1,1,Icterohaemorrhagiae
WP_002079019.1,1,Pyrogenes
WP_000667982.1,1,Pyrogenes
WP_241468521.1,1,Pyrogenes
WP_240738570.1,1,Pyrogenes
WP_241468520.1,1,Pyrogenes
WP_004420971.1,2,Australis
WP_004434567.1,2,Australis
WP_004434460.1,2,Australis
WP_004434810.1,2,Australis
WP_004434771.1,2,Australis
WP_004434989.1,2,Australis
WP_004434732.1,2,Australis
WP_243829359.1,2,Australis
WP_004434477.1,2,Australis
WP_004434939.1,2,Australis
WP_004434773.1,2,Australis
WP_004434738.1,2,Australis
WP_004434462.1,2,Australis
WP_232436020.1,2,Australis
WP_004434874.1,2,Australis
WP_004434663.1,2,Australis
WP_198289705.1,2,Australis
WP_004434466.1,2,Australis
WP_004434686.1,2,Australis
WP_004434756.1,2,Australis
WP_004434935.1,2,Australis
WP_051060727.1,2,Australis
WP_036032239.1,2,Australis
WP_004434561.1,2,Australis
WP_004434629.1,2,Australis
WP_004434740.1,2,Australis
WP_004434437.1,2,Australis
WP_243815746.1,2,Australis
WP_036032297.1,2,Australis
WP_036032236.1,2,Australis
WP_157434982.1,2,Australis
WP_243829358.1,2,Australis
WP_004434977.1,2,Australis
WP_004421360.1,2,Australis
WP_004421329.1,2,Australis
WP_004421044.1,2,Australis
WP_004421446.1,2,Australis
WP_004421390.1,2,Australis
WP_004421471.1,2,Australis
WP_004450657.1,2,Australis
WP_004421009.1,2,Australis
WP_004421032.1,2,Australis
WP_004421440.1,2,Australis
WP_232417455.1,2,Australis
WP_004421346.1,2,Australis
WP_004421149.1,2,Australis
WP_004421318.1,2,Australis
WP_053522407.1,2,Australis
WP_004456870.1,2,Australis
WP_198289710.1,2,Australis
WP_004434481.1,2,Australis
WP_232724681.1,2,Autumnalis
WP_243817857.1,2,Autumnalis
WP_004448468.1,2,Autumnalis
WP_243817856.1,2,Autumnalis
WP_036063888.1,2,Autumnalis
WP_243817855.1,2,Autumnalis
WP_004450690.1,2,Autumnalis
WP_004450706.1,2,Autumnalis
WP_004421460.1,2,Autumnalis
WP_004450681.1,2,Autumnalis
WP_036063866.1,2,Autumnalis
WP_004450670.1,2,Autumnalis
WP_004450713.1,2,Autumnalis
WP_004450693.1,2,Autumnalis
WP_004450672.1,2,Autumnalis
WP_232724703.1,2,Autumnalis
WP_243817854.1,2,Autumnalis
WP_243817847.1,2,Autumnalis
WP_243817842.1,2,Autumnalis
WP_157226958.1,2,Autumnalis
WP_279575096.1,2,Autumnalis
WP_162833666.1,2,Cynopteri
WP_016748630.1,2,Cynopteri
WP_016560406.1,2,Cynopteri
WP_016560441.1,2,Cynopteri
WP_016560449.1,2,Cynopteri
WP_016560426.1,2,Cynopteri
WP_099046747.1,2,Cynopteri
WP_016560398.1,2,Cynopteri
WP_244266170.1,2,Cynopteri
WP_004754565.1,2,Cynopteri
WP_004777126.1,2,Cynopteri
WP_004753843.1,2,Cynopteri
WP_016560457.1,2,Cynopteri
WP_016560467.1,2,Cynopteri
WP_016748641.1,2,Cynopteri
WP_016560456.1,2,Cynopteri
WP_004753611.1,2,Cynopteri
WP_004754967.1,2,Cynopteri
WP_016748654.1,2,Cynopteri
WP_000980525.1,2,Djasiman
WP_000378095.1,2,Djasiman
WP_000653659.1,2,Djasiman
WP_001968196.1,2,Djasiman
WP_002081174.1,2,Djasiman
WP_000797485.1,2,Djasiman
WP_002081175.1,2,Djasiman
WP_000855241.1,2,Djasiman
WP_000883343.1,2,Djasiman
WP_232428240.1,2,Djasiman
WP_000206940.1,2,Grippotyphosa
WP_232426365.1,2,Grippotyphosa
WP_004766738.1,2,Grippotyphosa
WP_004766690.1,2,Grippotyphosa
WP_017214685.1,2,Panama
WP_017214686.1,2,Panama
WP_238323712.1,2,Panama
WP_017214689.1,2,Panama
WP_020981159.1,2,Panama
WP_017214691.1,2,Panama
WP_017214692.1,2,Panama
WP_020981249.1,2,Panama
WP_020981272.1,2,Panama
WP_017214703.1,2,Panama
WP_020981230.1,2,Panama
WP_017214711.1,2,Panama
WP_017214712.1,2,Panama
WP_017214714.1,2,Panama
WP_020981199.1,2,Panama
WP_017214717.1,2,Panama
WP_017214718.1,2,Panama
WP_017214719.1,2,Panama
WP_017214720.1,2,Panama
WP_017214721.1,2,Panama
WP_017214722.1,2,Panama
WP_155243473.1,2,Panama
WP_020981216.1,2,Panama
WP_017214735.1,2,Panama
WP_017214737.1,2,Panama
WP_036057970.1,2,Panama
WP_228003844.1,2,Pomona
WP_001018782.1,2,Pomona
WP_001256699.1,2,Pomona
WP_230665945.1,2,Pomona
WP_230665946.1,2,Pomona
WP_002072219.1,2,Pomona
WP_000075880.1,2,Pomona
WP_230665944.1,2,Pomona
WP_000694279.1,2,Pomona
WP_000020777.1,3,Hebdomadis
WP_002076509.1,3,Hebdomadis
WP_001136119.1,3,Hebdomadis
WP_000535865.1,3,Hebdomadis
WP_002183331.1,3,Hebdomadis
WP_001117631.1,3,Hebdomadis
WP_000697351.1,3,Hebdomadis
WP_029781911.1,3,Hebdomadis
WP_000041234.1,3,Hebdomadis
WP_002108488.1,3,Hebdomadis
WP_002108487.1,3,Hebdomadis
WP_002108506.1,3,Hebdomadis
WP_002108485.1,3,Hebdomadis
WP_002108483.1,3,Hebdomadis
WP_002108508.1,3,Hebdomadis
WP_025180280.1,3,Hebdomadis
WP_002108525.1,3,Hebdomadis
WP_002108502.1,3,Hebdomadis
WP_002108526.1,3,Hebdomadis
WP_002099940.1,3,Hebdomadis
WP_000580577.1,3,Hebdomadis
WP_002078520.1,3,Hebdomadis
WP_025180279.1,3,Hebdomadis
WP_000665193.1,3,Hebdomadis
WP_002099981.1,3,Hebdomadis
WP_000848826.1,3,Hebdomadis
WP_001047906.1,3,Hebdomadis
WP_000897584.1,3,Hebdomadis
WP_002099939.1,3,Hebdomadis
WP_000550370.1,3,Hebdomadis
WP_000627059.1,3,Hebdomadis
WP_000651740.1,3,Hebdomadis
WP_000579360.1,3,Hebdomadis
WP_002100003.1,3,Hebdomadis
WP_002108484.1,3,Hebdomadis
WP_000723079.1,3,Hebdomadis
WP_002108504.1,3,Hebdomadis
WP_000567886.1,3,Hebdomadis
WP_000686566.1,3,Hebdomadis
WP_000275928.1,3,Hebdomadis
WP_000052509.1,3,Hebdomadis
WP_004279997.1,3,Mini
WP_004280359.1,3,Mini
WP_237578347.1,3,Mini
WP_004280040.1,3,Mini
WP_237578348.1,3,Mini
WP_004280867.1,3,Mini
WP_272914456.1,3,Mini
WP_237578349.1,3,Mini
WP_004280842.1,3,Mini
WP_004280777.1,3,Mini
WP_004280060.1,3,Mini
WP_002749093.1,3,Mini
WP_004280058.1,3,Mini
WP_004280426.1,3,Mini
WP_004280227.1,3,Mini
WP_036047963.1,3,Mini
WP_036035035.1,3,Mini
WP_004280660.1,3,Mini
WP_100224632.1,3,Mini
WP_117344670.1,3,Mini
WP_020780101.1,3,Sejroe
WP_011669928.1,3,Sejroe
WP_004779589.1,3,Sejroe
WP_004779550.1,3,Sejroe
WP_011669929.1,3,Sejroe
WP_004779559.1,3,Sejroe
WP_020780102.1,3,Sejroe
WP_011669942.1,3,Sejroe
WP_307898194.1,3,Sejroe
WP_011669944.1,3,Sejroe
WP_011669951.1,3,Sejroe
WP_011669961.1,3,Sejroe
WP_307898047.1,3,Sejroe
WP_225740483.1,4,Bataviae
WP_000652101.1,4,Bataviae
WP_000361605.1,4,Bataviae
WP_000699347.1,4,Bataviae
WP_000275582.1,4,Bataviae
WP_000808025.1,4,Bataviae
WP_000623952.1,4,Bataviae
WP_000208484.1,4,Bataviae
WP_001031896.1,4,Bataviae
WP_000615098.1,4,Bataviae
WP_000373631.1,4,Bataviae
WP_000673831.1,4,Bataviae
WP_000723077.1,4,Bataviae
WP_000656817.1,4,Bataviae
WP_000853941.1,4,Bataviae
WP_000824284.1,4,Bataviae
WP_154643354.1,4,Bataviae
WP_000432841.1,4,Bataviae
WP_001055393.1,4,Bataviae
WP_000125000.1,4,Bataviae
WP_000950837.1,4,Bataviae
WP_000048849.1,4,Bataviae
WP_002102581.1,4,Bataviae
WP_002102575.1,4,Bataviae
WP_061230225.1,4,Bataviae
WP_002102578.1,4,Bataviae
WP_002102582.1,4,Bataviae
WP_000890278.1,4,Bataviae
WP_000623348.1,4,Bataviae
WP_002102576.1,4,Bataviae
WP_002102584.1,4,Bataviae
WP_001168408.1,4,Bataviae
WP_000701360.1,4,Bataviae
WP_000952994.1,4,Bataviae
WP_000721297.1,4,Bataviae
WP_002102767.1,4,Bataviae
WP_000492105.1,4,Bataviae
WP_000358359.1,4,Bataviae
WP_000155110.1,4,Bataviae
WP_000804582.1,4,Bataviae
WP_000037677.1,4,Bataviae
WP_000692851.1,4,Bataviae
WP_000049575.1,4,Bataviae
WP_000688060.1,4,Bataviae
WP_000114571.1,4,Bataviae
WP_000833255.1,4,Bataviae
WP_001019760.1,4,Bataviae
WP_000703222.1,4,Bataviae
WP_000445586.1,4,Bataviae
WP_000513413.1,4,Bataviae
WP_000869621.1,4,Bataviae
WP_000377752.1,4,Bataviae
WP_002102773.1,4,Bataviae
WP_000697617.1,4,Bataviae
WP_001005151.1,4,Bataviae
WP_192504988.1,4,Bataviae
WP_002102764.1,4,Bataviae
WP_000862006.1,4,Bataviae
WP_004462893.1,4,Shermani
WP_004477915.1,4,Shermani
WP_004491540.1,4,Shermani
WP_004462889.1,4,Shermani
WP_230486561.1,4,Shermani
WP_004477982.1,4,Shermani
WP_230458706.1,4,Shermani
WP_004477829.1,4,Shermani
WP_016551804.1,4,Shermani
WP_233421676.1,4,Shermani
WP_004462123.1,4,Shermani
WP_004462124.1,4,Shermani
WP_004462125.1,4,Shermani
WP_004462126.1,4,Shermani
WP_004462133.1,4,Shermani
WP_004462134.1,4,Shermani
WP_004483359.1,4,Shermani
WP_016551796.1,4,Shermani
WP_004490599.1,4,Shermani
WP_233421675.1,4,Shermani
WP_061208753.1,4,Tarassovi
WP_061208754.1,4,Tarassovi
WP_061208755.1,4,Tarassovi
WP_257945214.1,4,Tarassovi
WP_061208428.1,4,Tarassovi
WP_061208429.1,4,Tarassovi
WP_061209096.1,4,Tarassovi
WP_228039699.1,4,Tarassovi
WP_061209098.1,4,Tarassovi
WP_228008733.1,4,Tarassovi
WP_061209107.1,4,Tarassovi
WP_061209108.1,4,Tarassovi
WP_257945376.1,4,Tarassovi
WP_061208984.1,4,Tarassovi
WP_061208042.1,4,Tarassovi
WP_061208040.1,4,Tarassovi
WP_081101349.1,4,Tarassovi
WP_061208039.1,4,Tarassovi
WP_061208038.1,4,Tarassovi
WP_235590276.1,4,Tarassovi
WP_061208037.1,4,Tarassovi
WP_061208036.1,4,Tarassovi
WP_061208035.1,4,Tarassovi
WP_061208034.1,4,Tarassovi
WP_061208033.1,4,Tarassovi
WP_061208025.1,4,Tarassovi
