Strain,WP_000007540.1,WP_000045938.1,WP_000050434.1,WP_000132018.1,WP_000231290.1,WP_000275679.1,WP_000284355.1,WP_000406134.1,WP_000432947.1,WP_000547460.1,WP_000549981.1,WP_000579813.1,WP_000600954.1,WP_000601375.1,WP_000661931.1,WP_000675255.1,WP_000715958.1,WP_000799637.1,WP_000823146.1,WP_000834719.1,WP_000848236.1,WP_000947841.1,WP_001052314.1,WP_001084686.1,WP_001206408.1,WP_002115390.1,WP_002115474.1,WP_061294270.1,target
185K,79.09395470383275,0.0,83.38658146964856,85.08800877192982,8.080924242424242,68.26943750000001,0.0,0.0,95.385,0.0,79.545,33.65044761904762,33.20712452830188,79.495,21.875171875,66.56586144578313,94.65645801526716,36.62005633802817,88.88923772609819,44.62832727272727,36.25470119521912,36.43449612403101,0.0,72.39043771043771,18.852418032786883,31.906206225680933,89.54689895470383,80.00022537313433,0
189K,79.09395470383275,0.0,83.38658146964856,85.08800877192982,8.080924242424242,68.26943750000001,0.0,0.0,95.385,0.0,79.545,33.65044761904762,33.20712452830188,79.495,21.875171875,66.56586144578313,94.65645801526716,36.62005633802817,88.88923772609819,44.62832727272727,36.25470119521912,36.43449612403101,0.0,72.39043771043771,18.852418032786883,31.906206225680933,89.54689895470383,80.00022537313433,0
198076,94.425,99.36502698412698,99.361,96.93,98.99,72.83649038461539,0.0,0.0,100.0,94.064,98.864,96.5079365079365,98.868,99.685,99.375,100.0,98.473,99.296,96.641,99.669,98.805,95.607,99.82,99.327,99.59,96.887,98.60622299651567,99.104,0
198085,79.09395470383275,0.0,83.38658146964856,85.08800877192982,0.0,68.26943750000001,0.0,0.0,95.385,0.0,79.545,33.65044761904762,33.20712452830188,79.495,21.875171875,66.56586144578313,94.65645801526716,36.62005633802817,88.63058139534883,44.62832727272727,36.25470119521912,36.43449612403101,0.0,72.72766329966329,18.852418032786883,31.906206225680933,89.54689895470383,80.00022537313433,0
200010104,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,98.955,0
2002000634,94.077,99.36502698412698,99.681,97.807,19.696828282828285,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,90.00030000000001,0
2002009669,94.077,99.36502698412698,99.681,97.807,19.696828282828285,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,98.955,0
200201191,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,98.955,0
200202130,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,27.924649056603773,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,98.955,0
200208340,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,27.924649056603773,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,98.955,0
200209405,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,98.955,0
200210329,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,98.955,0
200302438,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.504,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,98.955,0
200309516,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.653,99.59,96.887,98.60622299651567,98.955,0
200412424,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,98.868,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,98.955,0
2006006960,94.425,77.69852777777777,99.681,97.368,62.37362626262626,48.91857692307693,90.61313793103449,0.0,94.3075,94.064,75.49725000000001,24.76195873015873,66.22641886792452,99.685,99.2185,77.56027108433736,100.0,35.91537323943662,71.05920413436692,43.63619834710743,99.203,95.866,0.0,98.99,20.491868852459017,96.887,81.01027177700348,64.02957611940299,0
2006006972,94.077,99.36502698412698,99.681,97.807,19.696828282828285,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,49.701447761194025,0
2006006973,94.425,99.524,99.681,97.368,98.99,53.36561538461538,99.234,0.0,100.0,94.064,98.864,32.380876190476194,98.868,99.685,99.375,100.0,100.0,35.91537323943662,96.382,43.63619834710743,99.203,95.866,0.0,98.99,20.491868852459017,96.887,98.60622299651567,99.104,0
2006006982,94.077,99.36502698412698,99.681,97.807,13.636404040404042,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,49.701447761194025,0
2007005490,94.077,99.36502698412698,99.681,97.807,13.636404040404042,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,98.955,0
200701182,94.077,99.36502698412698,99.681,97.807,13.636404040404042,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,98.955,0
200701872,94.425,99.36502698412698,99.361,97.368,98.99,53.36561538461538,99.234,0.0,100.0,93.607,98.722,32.380876190476194,98.491,99.685,99.375,100.0,100.0,35.91537323943662,96.641,43.63619834710743,99.203,95.607,0.0,97.30658249158249,20.491868852459017,97.276,98.60622299651567,99.104,0
200801910,61.14970557491289,0.0,83.38658146964856,85.08800877192982,8.080924242424242,38.46184615384616,74.90451340996168,71.50558333333333,0.0,0.0,65.48277272727273,25.714138095238095,33.018798113207545,79.495,21.875171875,44.27703463855421,93.89329007633587,36.62005633802817,88.75990956072351,63.3054347107438,36.25470119521912,32.81660723514212,0.0,72.39043771043771,19.467356557377048,31.906206225680933,54.00682926829268,71.64206940298507,0
200804418,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,98.955,0
200901489,94.425,99.36502698412698,99.361,97.368,98.99,53.36561538461538,99.234,0.0,100.0,93.607,98.722,32.380876190476194,98.491,99.685,99.375,100.0,100.0,35.91537323943662,96.641,43.63619834710743,99.203,95.607,0.0,98.99,20.491868852459017,97.276,98.60622299651567,99.104,0
201100516,94.077,99.36502698412698,99.681,97.807,19.696828282828285,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,98.955,0
201203348,100.0,99.841,100.0,99.561,100.0,100.0,100.0,100.0,100.0,99.543,100.0,96.5079365079365,28.302158490566036,99.685,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,99.851,1
201300035,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,71.69800754716981,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,98.955,0
201401324,93.728,99.365,98.722,97.807,25.757252525252525,95.19219230769231,0.0,79.839,99.692,83.56168949771688,99.432,96.1904253968254,98.113,99.36899999999999,98.125,99.699,100.0,97.183,52.713,99.504,98.008,96.124,99.82,99.663,96.721,96.887,98.258,94.92551641791044,1
201401326,93.728,99.365,98.722,97.807,25.757252525252525,95.19219230769231,0.0,79.839,99.692,83.56168949771688,99.432,96.1904253968254,98.113,99.36899999999999,98.125,99.699,100.0,97.183,52.713,99.504,98.008,96.124,99.82,99.663,96.721,96.887,98.258,94.62662686567164,1
201401327,79.09395470383275,0.0,83.38658146964856,85.08800877192982,0.0,38.46184615384616,88.506,76.882,0.0,0.0,79.545,33.65044761904762,33.20712452830188,79.495,21.875171875,66.56586144578313,93.89329007633587,36.62005633802817,88.88923772609819,63.3054347107438,36.25470119521912,36.43449612403101,0.0,72.39043771043771,18.852418032786883,31.906206225680933,54.00682926829268,80.14944776119404,0
201401328,93.728,99.365,98.722,97.807,25.757252525252525,95.19219230769231,0.0,79.839,99.692,83.56168949771688,99.432,96.1904253968254,98.113,99.36899999999999,98.125,99.699,100.0,97.183,52.713,99.504,98.008,96.124,99.82,99.663,96.721,96.887,98.258,94.92551641791044,1
201501067,94.425,99.36502698412698,99.361,97.368,98.99,53.36561538461538,99.234,0.0,100.0,93.607,98.722,32.380876190476194,98.491,99.685,99.375,100.0,100.0,35.91537323943662,96.641,43.63619834710743,99.203,95.607,0.0,98.99,20.491868852459017,97.276,98.60622299651567,99.104,0
201502613,99.652,99.841,100.0,99.561,100.0,100.0,100.0,100.0,100.0,99.543,100.0,96.5079365079365,100.0,99.685,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.149231343283574,1
201600667,94.425,99.36502698412698,99.361,97.368,98.99,53.36561538461538,99.234,0.0,100.0,93.607,98.722,32.380876190476194,98.491,99.685,99.375,100.0,100.0,35.91537323943662,96.641,43.63619834710743,99.203,95.607,0.0,98.99,20.491868852459017,97.276,98.60622299651567,99.104,0
201601010,94.425,99.36502698412698,99.361,97.368,98.99,53.36561538461538,99.234,0.0,100.0,93.607,98.722,32.380876190476194,98.491,99.685,99.375,100.0,100.0,35.91537323943662,96.641,43.63619834710743,99.203,95.607,0.0,98.99,20.491868852459017,97.276,98.60622299651567,99.104,0
201601174,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.653,99.59,96.887,98.60622299651567,98.955,0
201700037,94.077,90.31705714285715,92.013,92.544,99.495,91.82673076923078,0.0,87.90333870967741,96.923,91.781,90.199,94.92038095238095,90.566,92.74399999999999,88.438,96.386,94.65645801526716,97.887,96.124,94.711,98.008,93.023,98.564,85.185,99.59,82.10101167315175,90.59224390243904,45.97040597014925,1
201700941,94.425,99.36502698412698,98.722,97.368,98.99,53.36561538461538,99.234,0.0,100.0,93.607,98.722,32.380876190476194,98.491,99.685,99.375,100.0,100.0,35.91537323943662,96.641,43.63619834710743,99.203,95.607,0.0,98.99,20.491868852459017,97.276,98.60622299651567,99.104,0
201700955,94.425,99.36502698412698,99.361,97.368,98.99,53.36561538461538,99.234,0.0,100.0,93.607,98.722,32.380876190476194,98.491,99.685,99.375,100.0,100.0,35.91537323943662,96.641,43.63619834710743,99.203,95.607,0.0,98.99,20.491868852459017,97.276,98.60622299651567,99.104,0
201800564,94.425,99.36502698412698,0.0,97.368,98.99,53.36561538461538,99.234,0.0,100.0,93.607,98.722,32.380876190476194,18.49068679245283,99.685,99.375,100.0,100.0,35.91537323943662,96.641,43.63619834710743,99.203,95.607,0.0,0.0,20.491868852459017,97.276,98.60622299651567,99.104,0
201800574,94.425,99.36502698412698,99.042,97.368,98.99,53.36561538461538,99.234,0.0,100.0,93.607,98.722,32.380876190476194,98.868,99.685,99.375,100.0,100.0,35.91537323943662,96.641,43.63619834710743,99.203,95.607,0.0,98.99,20.491868852459017,97.276,98.60622299651567,99.104,0
201800707,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,98.955,0
201800891,79.09395470383275,0.0,83.38658146964856,85.08800877192982,0.0,38.46184615384616,88.506,76.882,0.0,0.0,79.545,33.65044761904762,33.20712452830188,79.495,21.875171875,66.56586144578313,93.89329007633587,36.62005633802817,88.88923772609819,63.3054347107438,36.25470119521912,36.43449612403101,0.0,72.39043771043771,18.852418032786883,31.906206225680933,54.00682926829268,80.14944776119404,0
201801160,100.0,99.841,100.0,99.561,100.0,100.0,100.0,100.0,100.0,99.543,100.0,96.5079365079365,100.0,99.685,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.851,1
201801161,100.0,99.841,100.0,99.561,100.0,100.0,100.0,100.0,100.0,99.543,100.0,96.5079365079365,100.0,99.685,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.851,1
201801164,100.0,99.841,100.0,99.561,100.0,100.0,100.0,100.0,100.0,99.543,100.0,96.5079365079365,100.0,99.685,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.851,1
201801173,100.0,99.841,100.0,99.561,100.0,100.0,100.0,100.0,100.0,99.543,100.0,96.5079365079365,100.0,99.685,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.851,1
201801184bis,100.0,99.841,100.0,99.561,100.0,100.0,100.0,100.0,100.0,99.543,100.0,96.5079365079365,100.0,99.685,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.701,1
201801185ter,100.0,99.841,100.0,99.561,100.0,100.0,100.0,100.0,100.0,99.543,100.0,96.5079365079365,92.83005660377358,99.685,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.851,1
201802615,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,98.955,0
201900329,79.09395470383275,0.0,83.38658146964856,85.08800877192982,0.0,38.46184615384616,56.704892720306525,20.96778494623656,0.0,0.0,79.545,33.65044761904762,33.20712452830188,79.495,21.875171875,66.56586144578313,93.89329007633587,36.62005633802817,88.88923772609819,63.3054347107438,36.25470119521912,36.43449612403101,0.0,72.39043771043771,18.852418032786883,31.906206225680933,54.00682926829268,80.14944776119404,0
201900341,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,98.955,0
201902968,100.0,99.841,100.0,99.561,100.0,100.0,100.0,100.0,100.0,99.543,100.0,96.5079365079365,100.0,99.685,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.851,1
202000074,100.0,99.841,99.681,99.561,14.141252525252526,100.0,100.0,100.0,100.0,86.30159360730593,100.0,96.5079365079365,99.623,99.685,100.0,100.0,99.23700000000001,100.0,100.0,100.0,100.0,100.0,100.0,99.327,100.0,99.611,100.0,99.851,0
202001249,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,98.955,0
202001619,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,98.657,0
202001913,93.728,99.365,98.722,97.807,25.757252525252525,95.19219230769231,0.0,79.839,99.692,83.56168949771688,99.432,96.1904253968254,98.113,99.36899999999999,98.125,99.699,100.0,97.183,52.713,99.504,98.008,96.124,99.82,99.663,96.721,77.04284435797666,98.258,94.92551641791044,1
202100001,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,74.10434104477612,0
202100614,79.09395470383275,0.0,83.38658146964856,85.08800877192982,0.0,38.46184615384616,88.506,76.882,0.0,0.0,79.545,33.65044761904762,33.20712452830188,79.495,21.875171875,66.56586144578313,93.89329007633587,36.62005633802817,88.88923772609819,63.3054347107438,36.25470119521912,36.43449612403101,0.0,72.39043771043771,18.852418032786883,31.906206225680933,54.00682926829268,80.14944776119404,0
202101402,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,98.955,0
202101403,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,98.955,0
202101578,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,98.955,0
202101808,80.836,7.301642857142858,77.31661022364217,38.15780701754386,8.080924242424242,50.96201201923078,86.973,0.0,92.615,0.0,76.42039772727273,33.015726984126985,33.20712452830188,78.233,20.937375000000003,67.47021686746989,91.60280152671756,37.32422535211268,53.488,45.12426115702479,34.66171314741036,34.88348837209302,0.0,71.044,18.032760245901642,33.074046692607006,85.01773519163763,69.40288656716419,0
202102907,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,98.955,0
202102988,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,98.955,0
202102995,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.8215,99.59,96.887,98.60622299651567,98.955,0
202102996,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,98.868,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,98.806,0
202102997,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,27.924649056603773,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.641,98.99,99.59,96.887,98.60622299651567,98.955,0
202102999,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.59606971153846,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,52.830430188679244,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,63.973326599326604,99.59,96.887,98.60622299651567,98.806,0
202103001,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,98.868,99.685,99.062,100.0,100.0,99.296,96.124,99.339,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,98.955,0
202103003,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,97.6429898989899,99.59,96.887,98.60622299651567,90.00030000000001,0
202103004,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,98.955,0
202103005,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,89.40323880597015,0
202103006,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,89.40323880597015,0
202200046,80.488,69.04725714285713,76.99637699680511,39.03494736842105,8.080924242424242,50.96201201923078,87.356,0.0,92.308,72.60304109589042,76.70480113636364,33.015726984126985,75.47212075471698,78.549,84.375,88.554,89.31329770992367,37.32422535211268,53.747,44.958314049586775,90.83665338645419,34.88348837209302,0.0,71.044,18.442524590163934,33.463214007782106,85.71429965156794,69.10411343283583,0
202200246,94.425,99.36502698412698,98.722,97.368,98.99,53.36561538461538,99.234,0.0,100.0,93.607,98.722,32.380876190476194,98.491,99.685,99.375,100.0,100.0,35.91537323943662,96.641,43.63619834710743,99.203,95.607,0.0,98.99,20.491868852459017,97.276,98.60622299651567,98.806,0
202201145,94.425,99.36502698412698,99.361,97.368,98.99,53.36561538461538,99.234,0.0,100.0,93.607,98.722,32.380876190476194,98.491,99.685,99.375,100.0,100.0,35.91537323943662,96.641,43.63619834710743,99.203,95.607,0.0,98.99,20.491868852459017,97.276,98.60622299651567,98.806,0
202202118,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.669,99.203,95.607,99.82,98.653,99.59,96.887,98.60622299651567,98.657,0
202202119,94.077,99.36502698412698,99.681,97.807,25.757252525252525,72.83649038461539,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,99.245,99.685,99.062,100.0,100.0,99.296,96.124,99.504,99.203,95.607,99.82,98.99,99.59,96.887,98.60622299651567,98.955,0
