Strain,WP_000378095.1,WP_000653659.1,WP_000797485.1,WP_000855241.1,WP_000883343.1,WP_000980525.1,WP_001968196.1,WP_002081174.1,WP_002081175.1,WP_232428240.1,target
201600670,90.8780945945946,59.33722891566265,0.0,0.0,0.0,79.253,14.743589743589745,0.0,0.0,0.0,0
201601171,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.037,0.0,0
201601172,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
201700039,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.037,0.0,0
201700043,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
201700045,90.54071621621623,76.506,0.0,0.0,0.0,99.17,86.538,0.0,0.0,0.0,0
201700301,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
201700303,95.77684459459459,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,91.32923988439306,0.0,0
201700306,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
201700316,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
201800570,99.324,99.096,0.0,0.0,0.0,28.21563485477179,100.0,0.0,13.101996146435454,0.0,0
201800888,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
201800890,90.8780945945946,76.506,0.0,0.0,0.0,29.045539419087138,86.538,0.0,0.0,0.0,0
201801158bis,99.324,99.398,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0
201801162,99.324,98.494,100.0,99.779,100.0,28.21563485477179,100.0,99.718,99.615,95.36585365853658,0
201801165,99.324,98.494,100.0,99.779,100.0,28.21563485477179,100.0,99.718,99.615,95.36585365853658,0
201801167,63.34423817567568,99.398,100.0,99.779,100.0,29.0458755186722,100.0,99.435,99.615,0.0,0
201801172bis,99.324,98.494,100.0,99.779,100.0,28.21563485477179,100.0,99.718,99.615,0.0,0
201801176ter,99.324,99.398,100.0,99.779,100.0,29.0458755186722,100.0,99.435,99.615,0.0,0
201801189,99.324,98.494,100.0,99.779,100.0,28.21563485477179,100.0,99.718,99.615,95.36585365853658,0
201801190,99.324,98.494,100.0,99.779,100.0,28.21563485477179,100.0,99.718,99.615,95.36585365853658,0
201801191,99.324,98.494,100.0,99.779,100.0,28.21563485477179,100.0,99.718,99.615,95.36585365853658,0
201801219,66.89178378378378,99.398,0.0,0.0,0.0,28.21563485477179,100.0,0.0,13.101996146435454,0.0,0
201801752,99.324,98.494,100.0,99.779,100.0,28.21563485477179,100.0,99.718,99.422,0.0,0
201801753,99.324,98.494,100.0,99.779,100.0,28.21563485477179,100.0,99.718,99.615,95.36585365853658,0
201801755,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
201801758,99.324,98.494,100.0,99.779,100.0,28.21563485477179,100.0,99.718,99.615,95.36585365853658,0
201801761,99.324,99.398,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0
201902969,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
202000070,99.324,99.096,100.0,98.0085,100.0,28.21563485477179,100.0,99.718,99.807,0.0,1
202001526,66.89178378378378,99.398,0.0,0.0,0.0,28.21563485477179,100.0,0.0,13.101996146435454,0.0,0
202100004,99.324,87.349,65.36056426332289,99.336,100.0,28.21563485477179,100.0,99.718,85.83784489402697,0.0,0
202102989,90.8780945945946,76.506,0.0,0.0,0.0,29.045539419087138,86.538,0.0,0.0,0.0,0
202102991,90.8780945945946,76.506,0.0,0.0,0.0,29.045539419087138,86.538,0.0,0.0,0.0,0
202102992,90.8780945945946,76.506,0.0,0.0,0.0,29.045539419087138,86.538,0.0,0.0,0.0,0
202102993,90.8780945945946,76.506,0.0,0.0,0.0,29.045539419087138,86.538,0.0,0.0,0.0,0
202102994,90.8780945945946,76.506,0.0,0.0,0.0,29.045539419087138,86.538,0.0,0.0,0.0,0
202102998,90.8780945945946,76.506,0.0,0.0,0.0,29.045539419087138,86.538,0.0,0.0,0.0,0
202103007,90.8780945945946,76.506,0.0,0.0,0.0,29.045539419087138,86.538,0.0,0.0,0.0,0
202103008,90.8780945945946,76.506,0.0,0.0,0.0,79.253,85.897,0.0,0.0,0.0,0
202103009,90.8780945945946,76.506,0.0,0.0,0.0,29.045539419087138,86.538,0.0,0.0,0.0,0
202201149,90.54071621621623,71.08410843373494,0.0,0.0,0.0,29.460174273858918,85.897,0.0,0.0,0.0,0
202201150,90.54071621621623,76.506,0.0,0.0,0.0,29.460174273858918,85.897,0.0,0.0,0.0,0
208140,98.986,98.494,99.373,99.779,100.0,100.0,100.0,99.718,99.615,0.0,0
213K,99.324,98.494,100.0,99.779,100.0,29.0458755186722,100.0,99.718,99.615,95.36585365853658,0
257K,99.324,98.494,100.0,99.779,100.0,29.0458755186722,100.0,99.718,99.615,95.36585365853658,0
2ACAP,89.86497297297298,70.482,0.0,0.0,0.0,82.57220746887967,79.48717948717949,0.0,0.0,0.0,0
325_IZSLER,66.89178378378378,99.398,0.0,0.0,0.0,28.21563485477179,100.0,0.0,13.101996146435454,0.0,0
3522_CT,90.8780945945946,76.506,0.0,0.0,0.0,29.045539419087138,86.538,0.0,0.0,71.46328292682927,0
423_IZSLER,90.8780945945946,76.506,0.0,0.0,0.0,29.045539419087138,86.538,0.0,0.0,0.0,0
433_IZSLER,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
442_IZSLER,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
445_IZSLER,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
44_IZSLER,47.465986486486486,62.80127861445783,0.0,0.0,0.0,28.83790456431535,66.98735897435897,0.0,13.101996146435454,0.0,0
56180,89.86497297297298,70.482,0.0,0.0,0.0,82.57220746887967,79.48717948717949,0.0,0.0,77.31691219512194,0
56609,99.324,77.1085843373494,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0
56626,98.986,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.435,99.229,0.0,0
56653,99.324,98.494,100.0,100.0,100.0,100.0,100.0,99.718,99.615,44.87804878048781,0
61H,90.8780945945946,76.506,0.0,0.0,0.0,28.907323651452284,86.53822863247863,0.0,0.0,0.0,0
ACSBRA_2020,66.89178378378378,99.398,0.0,0.0,0.0,28.21563485477179,100.0,0.0,13.101996146435454,0.0,0
AKRFB,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
Ag06_2020,90.8780945945946,76.506,0.0,0.0,0.0,29.045539419087138,86.538,0.0,0.0,71.46328292682927,0
Ag07_2020,90.8780945945946,76.506,0.0,0.0,0.0,79.253,85.897,0.0,0.0,0.0,0
Andaman,99.324,98.494,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0
BOLMAN,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
Brem_127_Duyster,90.8780945945946,76.506,0.0,0.0,0.0,79.253,85.897,0.0,0.0,0.0,0
Brem_137,66.89178378378378,99.398,0.0,0.0,0.0,28.21563485477179,100.0,0.0,13.101996146435454,0.0,0
Brem_179,90.8780945945946,76.506,0.0,0.0,0.0,29.045539419087138,85.897,0.0,0.0,0.0,0
CMCC-1,66.89178378378378,99.398,0.0,0.0,0.0,28.21563485477179,100.0,0.0,13.101996146435454,0.0,0
CR1821,89.86497297297298,70.482,0.0,0.0,0.0,82.57220746887967,79.48717948717949,0.0,0.0,15.121931707317072,0
CR2621,89.86497297297298,70.482,0.0,0.0,0.0,82.57220746887967,79.48717948717949,0.0,0.0,0.0,0
CSL10083,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
CSL4002,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
Duyster,94.12125675675676,80.3616,0.0,0.0,0.0,87.5518,91.5383641025641,0.0,0.0,0.0,0
Duyster-Boelhouwer,90.8780945945946,76.506,0.0,0.0,0.0,79.253,85.89782051282052,0.0,0.0,0.0,0
FMAS_AP1,99.324,99.096,0.0,0.0,0.0,28.21563485477179,100.0,0.0,13.101996146435454,0.0,0
FMAS_AP7,99.324,99.096,0.0,0.0,0.0,28.21563485477179,100.0,0.0,13.101996146435454,0.0,0
FMAS_AW1,99.324,99.096,100.0,100.0,100.0,28.21563485477179,100.0,99.718,99.807,95.36585365853658,0
FMAS_AW2,99.324,99.096,100.0,100.0,100.0,28.21563485477179,100.0,99.718,99.807,95.36585365853658,0
FMAS_KW1,99.324,99.096,100.0,98.0085,100.0,28.21563485477179,100.0,99.718,99.807,0.0,1
FMAS_PN3,99.324,99.096,0.0,0.0,0.0,28.21563485477179,100.0,0.0,13.101996146435454,0.0,0
FMAS_PN5,99.324,77.1085843373494,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0
FMAS_RT2,99.324,99.096,0.0,0.0,0.0,28.21563485477179,100.0,0.0,13.101996146435454,0.0,0
Fox_32256,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
GR5,99.324,87.349,96.552,99.336,94.09448818897637,28.21563485477179,100.0,99.718,99.229,0.0,0
HO0905CK,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
HROSC,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
Hook,64.1887027027027,50.602274096385536,85.57988087774295,91.814,92.913,27.80134854771784,32.69273076923077,75.70572881355932,81.50270905587668,78.04836829268292,0
IP1507003,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
IP1512014,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
IP1512015,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
IP1512016,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
IP1710039,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
IP1710040,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
IP1710043,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
IP1710044,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
IP1710045,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
IP1710047,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
LEP1226,90.8780945945946,76.506,0.0,0.0,0.0,79.253,85.897,0.0,0.0,0.0,0
LEPTOCUBA05,99.324,87.349,0.0,99.336,100.0,28.21563485477179,100.0,0.0,52.215589595375725,0.0,0
LO-9,89.86497297297298,70.482,0.0,0.0,0.0,82.57220746887967,79.48717948717949,0.0,0.0,0.0,0
LP101,99.324,77.1085843373494,0.0,0.0,0.0,28.21563485477179,0.0,0.0,0.0,0.0,0
LT1649,99.662,99.699,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.09771951219511,1
MH4000,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
MH4012,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
MH4029,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
MM0168CK,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
MM0266CK,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
MM0281CK,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
Mallika,99.324,98.494,100.0,99.779,100.0,28.21563485477179,100.0,99.718,99.615,95.36585365853658,0
Moskva,90.8780945945946,76.506,0.0,0.0,0.0,71.88795228215767,85.89720512820514,0.0,0.0,0.0,0
NIID12,98.986,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.435,99.229,0.0,0
NIID15,98.986,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.435,99.229,0.0,0
Nikolaevo,90.54071621621623,76.205,0.0,0.0,0.0,28.838215767634857,86.21791025641025,0.0,0.0,0.0,0
PUO_1247,90.8780945945946,76.506,91.85,98.009,92.52,29.045539419087138,86.538,97.74,93.064,0.0,0
Pom_str68,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
RM52,65.5402972972973,76.506,0.0,0.0,0.0,79.253,85.89741025641027,0.0,0.0,0.0,0
RedPanda1,90.8780945945946,76.506,0.0,0.0,0.0,79.253,85.89782051282052,0.0,0.0,0.0,0
SEMNICKI,90.8780945945946,76.506,0.0,0.0,0.0,29.045539419087138,86.538,0.0,0.0,0.0,0
SOFTIC,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
SU5,66.89178378378378,99.398,0.0,0.0,0.0,28.21563485477179,100.0,0.0,13.101996146435454,0.0,0
U73,64.1887027027027,50.602274096385536,85.57988087774295,91.593,92.52,27.80134854771784,32.69273076923077,75.70572881355932,81.50270905587668,0.0,0
UCR5RB1,90.8780945945946,76.506,0.0,0.0,0.0,79.253,85.89782051282052,0.0,0.0,0.0,0
UI29382,99.324,98.494,100.0,99.779,100.0,28.21563485477179,100.0,99.718,99.615,95.36585365853658,0
UI_12764,99.324,99.398,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0
UT364,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
VARDARAC,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
Valbuzzi,98.986,86.145,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0
Vehlefans_2,90.8780945945946,76.506,0.0,0.0,0.0,29.045539419087138,86.538,0.0,0.0,0.0,0
Vehlefans_3,90.8780945945946,76.506,0.0,0.0,0.0,29.045539419087138,86.538,0.0,0.0,0.0,0
Wumalasena,50.338027027027024,76.506,0.0,0.0,0.0,99.17,86.538,0.0,0.0,0.0,0
ZUN142,64.1887027027027,50.602274096385536,62.38282758620689,0.0,0.0,28.215402489626555,32.69273076923077,61.44043220338984,28.420269749518305,0.0,0
bajan,65.20281081081082,45.48185240963855,0.0,0.0,0.0,28.21601867219917,0.0,0.0,12.138895953757226,0.0,0
grippotyphosa1231,99.324,98.494,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0
grippotyphosa1473,90.8780945945946,76.506,0.0,0.0,0.0,29.045539419087138,85.897,0.0,0.0,0.0,0
ip1509009,99.324,87.349,0.0,99.336,100.0,28.21563485477179,100.0,0.0,74.56610404624277,0.0,0
ip1512011,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
kirsch_ratnapura1236,90.54071621621623,76.506,0.0,0.0,0.0,99.17,86.538,0.0,0.0,0.0,0
kirsch_ratnapura1439,90.54071621621623,76.506,0.0,0.0,0.0,99.17,86.538,0.0,0.0,0.0,0
leptoCuba20,90.8780945945946,76.506,0.0,0.0,0.0,29.045539419087138,86.538,0.0,0.0,0.0,0
lyse,64.86444594594595,45.48185240963855,0.0,0.0,0.0,29.460995850622407,0.0,0.0,12.138895953757226,0.0,0
muenchen1327,66.89178378378378,99.398,0.0,0.0,0.0,28.21563485477179,100.0,0.0,13.101996146435454,0.0,0
pina1294,64.86444594594595,45.48185240963855,0.0,0.0,0.0,29.460995850622407,0.0,0.0,12.138895953757226,0.0,0
valbuzzi1427,98.986,86.145,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0
