Strain,WP_000020777.1,WP_000041234.1,WP_000052509.1,WP_000275928.1,WP_000535865.1,WP_000550370.1,WP_000567886.1,WP_000579360.1,WP_000580577.1,WP_000627059.1,WP_000651740.1,WP_000665193.1,WP_000686566.1,WP_000697351.1,WP_000723079.1,WP_000848826.1,WP_000897584.1,WP_001047906.1,WP_001117631.1,WP_001136119.1,WP_002076509.1,WP_002078520.1,WP_002099939.1,WP_002099940.1,WP_002099981.1,WP_002100003.1,WP_002108483.1,WP_002108484.1,WP_002108485.1,WP_002108487.1,WP_002108488.1,WP_002108502.1,WP_002108504.1,WP_002108506.1,WP_002108508.1,WP_002108525.1,WP_002108526.1,WP_002183331.1,WP_025180279.1,WP_025180280.1,WP_029781911.1,target
200403458,80.88654432132964,77.81783333333334,88.22177829099306,79.09730047505938,92.09394444444445,69.18921621621621,95.374,91.176,96.476,97.17,91.02953488372093,64.33452730375426,61.52873182957393,91.16672641509433,98.193,80.64501792114694,50.70429577464789,94.787,98.708,98.023,96.41240582959642,96.38399127182043,74.13763793103448,70.71652803738317,61.64354337899543,96.063,69.19478672985782,81.25016666666667,0.0,95.055,89.565,95.223,96.624,33.79606018518518,72.11532692307692,94.51,95.745,24.01964705882353,81.42570070422536,87.603,78.32157255244755,0
200701203,76.31591551246538,93.64500000000001,58.660683602771364,56.057131828978626,93.16287606837606,90.541,75.445,75.48976715686274,95.595,90.25177044025156,77.40849667774086,50.5119752559727,52.631799498746865,77.95887650085763,91.566,74.731,50.70429577464789,95.261,98.45,84.46304802259887,95.96422869955157,81.54598254364089,72.41351724137931,42.05602803738317,52.28284931506849,94.09408661417322,0.0,70.69427777777777,0.0,94.505,70.72479710144928,84.87278662420383,68.5654894514768,29.629430555555555,0.0,73.13746470588235,63.82959042553191,83.08827205882352,92.86960211267606,73.96693181818182,84.00324125874127,0
200702252,75.34620498614959,94.245,60.738896073903,94.299,92.09394444444445,71.08106351351351,95.374,91.176,88.76656607929516,97.17,91.02953488372093,76.10918856655289,61.52873182957393,98.285,98.04249999999999,80.46566666666666,50.70429577464789,82.70138625592418,98.708,98.023,98.206,82.79288403990024,74.13763793103448,70.71652803738317,39.269301369863015,91.14190157480314,69.19478672985782,81.25016666666667,0.0,77.19787912087912,89.565,95.0635,96.624,35.18502314814815,73.07711538461538,86.47080588235295,81.38313829787234,24.01964705882353,86.70744894366197,87.603,65.64655681818182,0
200801925,98.061,93.525,92.841,72.209,91.87988888888889,90.811,75.089,88.235,95.595,94.969,86.71118604651163,62.116520477815705,68.17066666666666,98.285,91.566,66.66634408602151,43.66174647887324,95.261,97.674,96.045,95.96422869955157,96.758,48.276,51.4018691588785,68.03693150684931,94.09408661417322,0.0,90.833,5.573737704918033,95.055,88.406,90.446,85.65405907172996,82.87,0.0,96.471,95.745,93.627,94.19,88.843,93.706,0
200803703,98.061,93.525,92.841,72.209,91.87988888888889,90.811,75.089,88.235,95.595,94.969,86.71118604651163,62.116520477815705,68.17066666666666,98.285,91.566,66.66634408602151,43.66174647887324,95.261,97.674,96.045,95.96422869955157,96.758,48.276,51.4018691588785,68.03693150684931,94.09408661417322,0.0,90.833,5.573737704918033,95.055,88.406,90.446,85.65405907172996,82.87,0.0,96.471,95.39,93.627,94.19,88.843,93.706,0
200901116,96.676,93.525,80.3120612009238,82.6605510688836,93.58955982905982,82.16196486486486,95.73,87.745,85.90285242290749,97.799,85.71448504983388,53.626316552901024,69.48595238095238,97.77,93.675,73.92444802867382,29.577380281690143,93.839,97.933,96.893,95.5154260089686,89.52579239401497,46.98315086206897,80.29585747663552,68.9495205479452,93.70064173228346,0.0,91.944,6.229586885245903,95.604,88.406,89.809,86.498,35.18502314814815,0.0,96.078,87.50016489361701,93.627,87.28006690140845,83.471,82.77968181818181,0
200901263,96.676,93.525,93.072,93.587,93.58955982905982,90.27,95.73,87.745,96.035,97.799,85.71448504983388,62.96931399317406,78.44571428571429,97.77,93.675,74.91,29.577380281690143,93.839,97.933,96.893,95.5154260089686,97.007,50.00046551724137,90.031,68.9495205479452,93.70064173228346,0.0,91.944,6.229586885245903,95.604,88.406,89.809,86.498,35.18502314814815,0.0,96.078,94.681,93.627,96.303,83.471,93.007,0
200901485,97.23,93.765,0.0,17.33985748218527,93.16287606837606,90.541,75.445,88.725,95.595,94.969,85.71383720930233,62.286962457337886,0.0,98.285,91.566,74.552,52.11273239436619,95.261,98.45,97.74,95.96422869955157,96.758,72.41351724137931,51.4018691588785,68.4927305936073,94.09408661417322,0.0,90.833,0.0,94.505,88.406,91.083,85.65405907172996,35.18502314814815,0.0,96.471,95.035,93.137,94.19,83.884,93.531,0
201000851,97.23,93.64500000000001,66.85928868360277,55.34458076009501,93.16287606837606,90.541,75.445,88.725,95.595,94.969,77.40849667774086,51.7919018771331,49.1230701754386,98.285,91.566,58.96051612903226,52.11273239436619,95.261,98.45,97.74,95.96422869955157,96.758,72.41351724137931,49.688560747663544,68.4927305936073,94.09408661417322,0.0,90.833,0.0,76.92287912087912,77.82617101449276,91.083,85.65405907172996,35.18502314814815,0.0,96.471,95.035,93.137,94.19,83.884,93.531,0
201101058,97.23,93.765,0.0,17.33985748218527,93.16287606837606,90.541,75.445,88.725,0.0,94.969,85.71383720930233,62.286962457337886,0.0,98.285,91.566,74.552,52.11273239436619,95.261,98.45,97.74,95.96422869955157,37.905236907730675,72.41351724137931,0.0,68.4927305936073,94.09408661417322,0.0,90.833,0.0,94.505,88.406,21.974347133757963,85.65405907172996,35.18502314814815,0.0,33.333019607843134,39.00690425531915,93.137,65.3170721830986,36.776450413223145,93.531,0
201101154,97.23,93.765,93.072,72.922,93.16287606837606,90.541,75.445,88.725,95.595,94.969,85.71383720930233,62.286962457337886,67.66961403508772,98.285,91.566,74.552,52.11273239436619,95.261,98.45,97.74,95.96422869955157,96.758,72.41351724137931,51.4018691588785,68.4927305936073,94.09408661417322,0.0,90.833,0.0,94.505,88.406,91.083,85.65405907172996,35.18502314814815,0.0,96.471,95.035,67.15661764705882,40.845169014084505,83.884,93.531,0
201101282,97.23,93.765,0.0,17.33985748218527,93.16287606837606,90.541,75.445,88.725,95.595,94.969,85.71383720930233,62.286962457337886,0.0,98.285,91.566,74.552,52.11273239436619,95.261,98.45,97.74,95.96422869955157,96.758,72.41351724137931,51.4018691588785,68.4927305936073,94.09408661417322,0.0,90.833,0.0,94.505,88.406,91.083,85.65405907172996,35.18502314814815,0.0,96.471,95.035,93.137,94.19,83.884,93.531,0
201102019,97.23,93.765,93.072,72.922,93.16287606837606,90.541,75.445,88.725,95.595,94.969,85.71383720930233,62.286962457337886,67.66961403508772,98.285,91.566,74.552,52.11273239436619,95.261,98.45,97.74,95.96422869955157,96.758,72.41351724137931,51.4018691588785,68.4927305936073,94.09408661417322,0.0,90.833,0.0,94.505,88.406,91.083,85.65405907172996,35.18502314814815,0.0,96.471,95.035,93.137,93.838,83.884,93.531,0
2013_VF52,97.23,94.245,94.457,94.299,92.30755128205128,82.70225675675675,95.374,91.176,96.476,0.0,91.02953488372093,90.2731399317406,79.44911278195488,98.456,98.193,81.3615770609319,52.1127323943662,94.313,98.191,98.588,97.758,97.756,74.13763793103448,90.966,66.20977168949771,96.063,70.1420616113744,96.389,0.0,95.055,89.855,95.223,96.624,38.88924074074074,73.07711538461538,95.686,95.745,92.647,97.711,90.083,96.853,0
201400667,97.23,93.765,93.072,72.922,93.16287606837606,90.541,75.445,88.725,95.595,94.969,85.71383720930233,62.286962457337886,67.66961403508772,98.285,91.566,74.552,52.11273239436619,95.261,98.45,97.74,95.96422869955157,96.758,72.41351724137931,51.4018691588785,68.4927305936073,94.09408661417322,0.0,90.833,0.0,94.505,88.406,91.083,85.65405907172996,35.18502314814815,0.0,96.471,95.035,93.137,94.19,83.884,93.531,0
201401473,97.23,93.765,93.072,72.922,93.16287606837606,90.541,75.445,88.725,95.595,94.969,85.71383720930233,62.286962457337886,67.66961403508772,98.285,91.566,74.552,52.11273239436619,95.261,98.45,97.74,95.96422869955157,96.758,72.41351724137931,51.4018691588785,68.4927305936073,94.09408661417322,0.0,90.833,0.0,94.505,88.406,91.083,85.65405907172996,35.18502314814815,0.0,96.471,95.035,93.137,94.19,83.884,93.531,0
2014_VF66,97.23,94.245,89.145,94.299,92.30755128205128,82.70225675675675,95.73,91.176,96.476,0.0,91.02953488372093,90.2731399317406,79.44911278195488,98.456,98.193,81.3615770609319,52.1127323943662,94.313,98.191,98.588,97.758,97.756,74.13763793103448,90.966,66.20977168949771,96.063,70.1420616113744,96.389,0.0,95.055,89.855,95.223,96.624,38.88924074074074,73.07711538461538,95.686,95.745,92.647,97.711,90.083,96.853,0
201501058,96.676,93.525,92.61,93.587,93.58955982905982,90.27,95.73,87.745,96.035,97.799,85.71448504983388,62.96931399317406,78.44571428571429,97.77,93.675,74.91,29.577380281690143,93.839,97.933,96.893,95.5154260089686,97.007,50.00046551724137,90.031,68.9495205479452,93.70064173228346,0.0,91.944,6.229586885245903,95.604,88.406,89.809,86.498,35.18502314814815,0.0,96.078,94.681,93.627,96.303,83.471,93.007,0
201501063,96.676,93.525,93.072,93.587,93.58955982905982,90.27,95.73,87.745,96.035,97.799,85.71448504983388,62.96931399317406,78.44571428571429,97.77,93.675,74.91,29.577380281690143,93.839,97.933,96.893,95.5154260089686,97.007,50.00046551724137,90.031,68.9495205479452,93.70064173228346,0.0,91.944,6.229586885245903,95.604,88.406,89.809,86.498,35.18502314814815,0.0,96.078,94.681,93.627,96.303,83.471,93.007,0
201501069,97.23,93.765,93.072,72.922,93.16287606837606,90.541,75.445,88.725,95.595,94.969,85.71383720930233,62.286962457337886,67.66961403508772,98.285,91.566,74.552,52.11273239436619,95.261,98.45,97.74,95.96422869955157,96.758,72.41351724137931,51.4018691588785,68.4927305936073,94.09408661417322,0.0,90.833,0.0,94.505,88.406,91.083,85.65405907172996,35.18502314814815,0.0,96.471,95.035,93.137,94.19,83.884,93.531,0
201501073,97.23,93.765,93.072,72.922,93.16287606837606,90.541,75.445,88.725,95.595,94.969,85.71383720930233,62.286962457337886,67.66961403508772,98.285,91.566,74.552,52.11273239436619,95.261,98.45,97.74,95.96422869955157,96.758,72.41351724137931,51.4018691588785,68.4927305936073,94.09408661417322,0.0,90.833,0.0,94.505,88.406,91.083,85.65405907172996,35.18502314814815,0.0,96.471,95.035,93.137,94.19,83.884,93.531,0
201501078,97.23,93.765,93.072,72.922,93.16287606837606,90.541,75.445,88.725,95.595,94.969,85.71383720930233,62.286962457337886,67.66961403508772,98.285,91.566,74.552,52.11273239436619,95.261,98.45,97.74,95.96422869955157,96.758,72.41351724137931,51.4018691588785,68.4927305936073,94.09408661417322,0.0,90.833,0.0,94.505,88.406,91.083,85.65405907172996,35.18502314814815,0.0,96.471,95.035,93.137,94.19,83.884,93.531,0
2015VF237,97.23,94.245,94.457,94.299,92.30755128205128,82.70225675675675,95.374,91.176,96.476,0.0,91.02953488372093,90.2731399317406,79.44911278195488,98.456,98.193,81.3615770609319,52.1127323943662,94.313,98.191,98.588,97.758,97.756,74.13763793103448,90.966,66.20977168949771,96.063,70.1420616113744,96.389,0.0,95.055,89.855,95.223,96.624,38.88924074074074,73.07711538461538,95.686,95.745,92.647,97.535,90.083,96.853,0
201600660,97.23,93.765,93.072,72.922,93.16287606837606,90.541,75.445,88.725,95.595,94.969,85.71383720930233,62.286962457337886,67.66961403508772,98.285,91.566,74.552,52.11273239436619,95.261,98.45,97.74,95.96422869955157,96.758,72.41351724137931,51.4018691588785,68.4927305936073,94.09408661417322,0.0,90.833,0.0,94.505,88.406,91.083,85.65405907172996,35.18502314814815,0.0,96.471,95.035,93.137,94.19,83.884,93.531,0
201600663,97.23,93.765,60.969866050808314,72.922,93.16287606837606,90.541,75.445,88.725,95.595,94.969,85.38202325581395,35.324150170648466,67.66961403508772,98.285,91.566,74.552,52.11273239436619,95.261,98.45,97.74,95.96422869955157,96.758,72.41351724137931,51.4018691588785,68.4927305936073,94.09408661417322,0.0,90.833,0.0,94.505,88.406,91.083,85.65405907172996,35.18502314814815,0.0,96.471,68.79460992907802,56.863004901960785,20.950774647887325,83.884,79.02103496503497,0
201600664,97.23,93.765,93.072,72.922,93.16287606837606,90.541,75.445,88.725,95.595,94.969,85.71383720930233,62.286962457337886,67.66961403508772,98.285,91.566,74.552,52.11273239436619,95.261,98.45,97.74,95.96422869955157,96.758,72.41351724137931,51.4018691588785,68.4927305936073,94.09408661417322,0.0,90.833,0.0,94.505,88.406,91.083,85.65405907172996,35.18502314814815,0.0,96.471,95.035,61.27466666666667,94.19,83.884,93.531,0
201600669,97.23,93.765,93.072,72.922,93.16287606837606,90.541,75.445,88.725,95.595,92.13835849056603,85.71383720930233,35.495017064846415,37.34329072681704,98.285,91.566,74.552,52.11273239436619,95.261,98.45,97.74,95.96422869955157,96.758,72.41351724137931,51.4018691588785,68.4927305936073,94.09408661417322,0.0,90.833,0.0,94.505,88.406,91.083,85.65405907172996,35.18502314814815,0.0,96.471,95.035,93.137,18.30999823943662,83.884,93.531,0
201600671,97.23,93.765,93.072,72.922,93.16287606837606,90.541,75.445,88.725,95.595,94.969,85.71383720930233,62.286962457337886,67.66961403508772,98.285,91.566,74.552,52.11273239436619,95.261,98.45,97.74,95.96422869955157,96.758,72.41351724137931,51.4018691588785,68.4927305936073,94.09408661417322,0.0,90.833,0.0,94.505,88.406,91.083,85.65405907172996,35.18502314814815,0.0,96.471,95.035,93.137,94.19,83.884,93.531,0
201600674,97.23,93.765,93.072,72.922,93.16287606837606,90.541,75.445,88.725,95.595,94.969,85.71383720930233,62.286962457337886,67.66961403508772,98.285,91.566,74.552,52.11273239436619,95.261,98.45,97.74,95.96422869955157,96.758,72.41351724137931,51.4018691588785,68.4927305936073,94.09408661417322,0.0,90.833,0.0,94.505,88.406,91.083,85.65405907172996,35.18502314814815,0.0,96.471,95.035,93.137,93.838,83.884,93.531,0
201600678,97.23,93.765,61.893579676674364,72.922,93.16287606837606,90.541,75.445,88.725,95.595,92.13835849056603,85.71383720930233,35.153781569965865,67.66961403508772,98.285,91.566,74.552,52.11273239436619,95.261,98.45,97.74,95.96422869955157,96.758,72.41351724137931,51.4018691588785,68.4927305936073,94.09408661417322,0.0,90.833,0.0,94.505,88.406,91.083,85.65405907172996,35.18502314814815,0.0,96.471,95.035,93.137,74.29609154929578,83.884,93.531,0
201600680,91.96673684210525,93.765,93.072,72.922,93.16287606837606,90.541,75.445,88.725,95.595,94.969,85.71383720930233,62.286962457337886,67.66961403508772,98.285,91.566,74.552,52.11273239436619,95.261,98.45,97.74,95.96422869955157,96.758,72.41351724137931,51.4018691588785,64.3838904109589,94.09408661417322,0.0,90.833,0.0,94.505,88.406,91.083,85.65405907172996,35.18502314814815,0.0,96.471,95.035,93.137,94.19,83.884,93.531,0
201600681,97.23,93.765,93.072,72.922,93.16287606837606,90.541,75.445,88.725,95.595,94.969,85.71383720930233,62.286962457337886,67.66961403508772,98.285,91.566,74.552,52.11297183098591,95.261,98.45,97.74,95.96422869955157,96.758,72.41351724137931,51.4018691588785,68.4927305936073,94.09408661417322,0.0,90.833,0.0,94.505,88.406,91.083,85.65405907172996,35.18502314814815,0.0,96.471,95.035,51.47045098039215,53.34529577464789,83.884,93.531,0
201600682,97.23,93.765,93.072,72.922,93.16287606837606,90.541,75.445,88.725,95.595,94.969,85.71383720930233,53.75422184300342,67.66961403508772,98.285,91.566,74.552,52.11273239436619,95.261,98.45,97.74,95.5154260089686,96.758,72.41351724137931,51.4018691588785,68.4927305936073,94.09408661417322,0.0,90.833,0.0,94.505,88.406,91.083,85.65405907172996,35.18502314814815,0.0,96.471,95.035,93.137,94.19,83.884,93.531,0
201700040,97.23,93.765,0.0,17.33985748218527,93.16287606837606,90.541,75.445,88.235,95.595,94.969,85.71383720930233,62.286962457337886,0.0,98.285,91.867,74.91,52.11273239436619,95.261,98.45,97.74,95.96422869955157,96.758,72.41351724137931,51.4018691588785,68.03693150684931,94.09408661417322,0.0,90.833,0.0,94.505,88.406,91.083,85.65405907172996,35.18502314814815,0.0,96.471,95.035,50.49026470588235,94.19,83.884,93.531,0
201700317,97.507,93.525,93.072,92.874,91.45320512820513,89.459,92.171,86.765,95.595,94.969,86.37841860465116,62.457404436860074,78.19552882205512,97.77,92.771,73.11845878136201,33.80297183098592,94.787,97.933,97.458,94.61880269058295,96.259,72.41351724137931,51.4018691588785,68.4927305936073,93.70064173228346,0.0,91.944,0.0,92.30736263736264,87.826,90.127,86.076,38.88924074074074,0.0,96.471,94.681,52.941250000000004,94.19,88.43,93.531,0
201800317,96.953,93.765,93.072,72.922,93.16287606837606,90.541,75.445,88.725,95.595,94.654,85.71383720930233,62.286962457337886,67.66961403508772,98.285,91.867,38.70974910394265,52.11273239436619,95.261,98.45,97.74,95.96422869955157,96.509,72.41351724137931,90.343,68.03693150684931,93.70064173228346,0.0,90.833,0.0,11.538516483516483,83.76811594202898,91.083,85.65405907172996,38.425981481481486,0.0,95.686,95.035,93.627,94.014,88.843,93.531,0
201900332,97.23,93.525,93.072,92.874,91.45320512820513,89.459,92.171,86.765,95.595,94.969,86.0466046511628,62.457404436860074,78.19552882205512,97.77,92.771,73.47625448028674,33.80297183098592,94.787,97.933,97.458,94.61880269058295,96.259,72.41351724137931,51.4018691588785,68.4927305936073,93.70064173228346,0.0,91.944,0.0,92.30736263736264,87.826,90.127,86.076,38.88924074074074,0.0,96.471,94.681,58.823264705882345,94.19,88.43,93.531,0
